userid,newsid,taskid,topic,topic_pref,equality,imp_position,viewport_time,dwell_time,read_ratio,read_speed,direction_change_times,pre_pref,read_pref,post_pref
25,63,5,社会,4,1,14,4322.0,,,,,,,4.0
25,141,5,社会,4,1,15,1843.0,,,,,,,3.0
25,179,3,历史,3,1,1,2673.0,31.0,0.800823045267,156.935483871,8.0,4.0,3.0,4.0
25,192,3,历史,3,1,2,7303.0,11.0,0.657708628006,211.363636364,0.0,4.0,4.0,4.0
25,39,3,历史,3,1,3,9479.0,,,,,,,3.0
25,20,3,娱乐,5,1,4,6706.0,36.0,0.904332700822,317.722222222,16.0,4.0,4.0,5.0
25,183,3,娱乐,5,1,5,14398.0,,,,,,,3.0
25,152,3,娱乐,5,1,6,15859.0,19.0,0.967221972085,565.315789474,22.0,4.0,4.0,5.0
25,40,3,体育,3,1,7,17549.0,,,,,,,3.0
25,240,3,体育,3,1,8,8989.0,44.0,0.790372881356,132.477272727,10.0,4.0,4.0,4.0
25,174,3,体育,3,1,9,7608.0,,,,,,,2.0
25,36,3,科技,4,1,10,4741.0,45.0,0.867903930131,176.666666667,22.0,4.0,5.0,5.0
25,22,3,科技,4,1,11,6661.0,,,,,,,2.0
25,88,3,科技,4,1,12,6065.0,69.0,0.882181110029,131.304347826,16.0,4.0,4.0,5.0
25,23,3,社会,4,1,13,5813.0,,,,,,,2.0
25,77,3,社会,4,1,14,84.0,,,,,,,3.0
25,178,3,社会,4,1,15,13.0,,,,,,,3.0
25,95,2,历史,3,1,1,1135.0,5.0,0.712998102467,601.2,0.0,4.0,3.0,3.0
25,8,2,历史,3,1,2,2819.0,23.0,0.761294140856,167.782608696,16.0,4.0,4.0,4.0
25,193,2,历史,3,1,3,3908.0,,,,,,,4.0
25,50,2,娱乐,5,1,4,6965.0,,,,,,,2.0
25,111,2,娱乐,5,1,5,15382.0,48.0,0.884970054188,193.9375,18.0,3.0,3.0,3.0
25,82,2,娱乐,5,1,6,12769.0,,,,,,,2.0
25,162,2,体育,3,1,7,14580.0,,,,,,,3.0
25,161,2,体育,3,1,8,6555.0,,,,,,,3.0
25,158,2,体育,3,1,9,3992.0,,,,,,,4.0
25,210,2,科技,4,1,10,6645.0,,,,,,,4.0
25,143,2,科技,4,1,11,10326.0,,,,,,,4.0
25,34,2,科技,4,1,12,14856.0,42.0,0.293652883856,132.738095238,38.0,4.0,2.0,3.0
25,102,2,社会,4,1,13,10561.0,,,,,,,4.0
25,55,2,社会,4,1,14,961.0,,,,,,,4.0
25,85,2,社会,4,1,15,95.0,,,,,,,4.0
25,170,11,娱乐,5,0,1,1453.0,21.0,0.613788700926,91.5714285714,2.0,4.0,3.0,4.0
25,139,11,娱乐,5,0,2,7860.0,25.0,0.589969501864,69.64,0.0,4.0,3.0,3.0
25,171,11,娱乐,5,1,3,15435.0,,,,,,,2.0
25,35,11,娱乐,5,0,4,16260.0,,,,,,,3.0
25,198,11,娱乐,5,0,5,12811.0,,,,,,,3.0
25,49,11,娱乐,5,1,6,6738.0,,,,,,,4.0
25,44,11,娱乐,5,0,7,6608.0,48.0,0.86901926824,167.25,10.0,4.0,3.0,3.0
25,24,11,娱乐,5,1,8,14309.0,,,,,,,4.0
25,231,11,娱乐,5,1,9,16402.0,,,,,,,3.0
25,123,11,娱乐,5,1,10,20914.0,,,,,,,4.0
25,206,11,娱乐,5,1,11,10889.0,,,,,,,4.0
25,56,11,娱乐,5,0,12,11412.0,47.0,0.732655766681,70.5531914894,16.0,3.0,3.0,3.0
25,165,11,娱乐,5,1,13,18628.0,,,,,,,4.0
25,2,11,娱乐,5,1,14,17298.0,,,,,,,4.0
25,168,11,娱乐,5,1,15,14863.0,,,,,,,3.0
25,118,4,历史,3,1,1,1318.0,38.0,0.651698330455,59.5789473684,2.0,4.0,3.0,3.0
25,226,4,历史,3,1,2,3011.0,,,,,,,5.0
25,212,4,历史,3,1,3,4858.0,73.0,0.798165137615,65.5479452055,8.0,4.0,4.0,4.0
25,199,4,娱乐,5,1,4,11611.0,,,,,,,4.0
25,235,4,娱乐,5,1,5,21349.0,,,,,,,4.0
25,208,4,娱乐,5,1,6,20263.0,77.0,0.89794197031,138.25974026,10.0,3.0,3.0,3.0
25,15,4,体育,3,1,7,22594.0,,,,,,,3.0
25,189,4,体育,3,1,8,21528.0,,,,,,,3.0
25,204,4,体育,3,1,9,22270.0,,,,,,,3.0
25,83,4,科技,4,1,10,8137.0,,,,,,,3.0
25,37,4,科技,4,1,11,11948.0,56.0,0.786596119929,79.6428571429,8.0,4.0,4.0,5.0
25,4,4,科技,4,1,12,8212.0,48.0,0.733538868091,69.3958333333,2.0,4.0,3.0,3.0
25,211,4,社会,4,1,13,6000.0,,,,,,,4.0
25,186,4,社会,4,1,14,1086.0,,,,,,,4.0
25,89,4,社会,4,1,15,853.0,,,,,,,4.0
25,213,1,历史,3,1,1,1529.0,,,,,,,4.0
25,76,1,历史,3,1,2,4447.0,91.0,0.714218233349,33.2307692308,2.0,4.0,4.0,4.0
25,108,1,历史,3,1,3,10706.0,16.0,0.409546340106,183.9375,2.0,4.0,3.0,4.0
25,230,1,娱乐,5,1,4,9858.0,,,,,,,3.0
25,131,1,娱乐,5,1,5,19090.0,,,,,,,3.0
25,242,1,娱乐,5,1,6,13979.0,,,,,,,3.0
25,25,1,体育,3,1,7,10116.0,,,,,,,3.0
25,51,1,体育,3,1,8,14198.0,62.0,0.739336492891,55.3548387097,2.0,3.0,3.0,4.0
25,100,1,体育,3,1,9,13389.0,,,,,,,3.0
25,135,1,科技,4,1,10,13631.0,,,,,,,2.0
25,238,1,科技,4,1,11,13733.0,14.0,0.714891611687,216.714285714,0.0,4.0,2.0,1.0
25,71,1,科技,4,1,12,15280.0,49.0,0.791988997765,94.0204081633,2.0,4.0,5.0,5.0
25,224,1,社会,4,1,13,10975.0,,,,,,,4.0
25,12,1,社会,4,1,14,9484.0,,,,,,,5.0
